"","Trajectory","Frame","x","y","z"
"1","1",639,25.649,97.882,0
"2","1",641,25.375,97.673,0
"3","1",642,25.587,98.931,0
"4","1",644,25.304,98.467,0
"5","1",645,25.34,97.818,0
"6","1",646,25.41,98.343,0
"7","1",648,25.409,97.977,0
"8","1",650,25.769,98.4,0
"9","1",651,25.636,97.899,0
"10","1",652,25.51,97.922,0
"11","2",663,25.787,98.048,0
"12","2",664,25.778,97.774,0
"13","2",665,24.987,97.642,0
"14","2",667,25.292,98.046,0
"15","2",668,25.328,98.346,0
"16","2",669,25.388,98.093,0
"17","2",670,26.195,98.458,0
"18","2",671,25.287,98.217,0
"19","2",672,25.341,98.502,0
"20","2",673,25.306,97.812,0
"21","3",756,24.904,98.358,0
"22","3",758,24.406,98.672,0
"23","3",760,24.42,98.108,0
"24","3",761,24.988,99.459,0
"25","3",762,25.155,98.887,0
"26","3",763,24.269,99.191,0
"27","3",764,24.296,99.167,0
"28","3",765,23.651,98.315,0
"29","3",766,24.275,98.686,0
"30","3",767,25.036,99.19,0
"31","4",799,25.324,98.807,0
"32","4",801,25.3,98.462,0
"33","4",804,24.349,98.608,0
"34","4",805,24.417,98.86,0
"35","4",806,24.207,99.317,0
"36","4",808,24.561,99.058,0
"37","4",809,24.484,98.758,0
"38","4",816,25.276,98.583,0
"39","4",818,24.964,98.754,0
"40","5",864,83.421,60.386,0
"41","5",865,83.395,60.467,0
"42","5",867,82.751,60.29,0
"43","5",871,83.524,60.436,0
"44","5",872,82.841,60.585,0
"45","5",874,82.788,60.403,0
"46","5",875,82.508,61.102,0
"47","5",879,83.359,61.096,0
"48","5",880,83.956,60.433,0
"49","5",881,84.178,60.605,0
"50","6",1782,48.461,50.664,0
"51","6",1783,48.688,50.886,0
"52","6",1784,48.098,50.912,0
"53","6",1786,48.261,51.401,0
"54","6",1787,48.394,51.696,0
"55","6",1789,48.369,51.141,0
"56","6",1792,48.958,51.804,0
"57","6",1794,48.589,51.951,0
"58","6",1795,49.083,52.003,0
"59","6",1797,48.412,50.9,0
"60","7",2240,80.901,99.675,0
"61","7",2242,73.712,97.56,0
"62","7",2248,70.178,94.692,0
"63","7",2249,69.547,94.611,0
"64","7",2250,69.55,94.766,0
"65","7",2251,70.049,94.579,0
"66","7",2252,69.804,94.737,0
"67","7",2253,69.299,94.313,0
"68","7",2254,69.459,94.42,0
"69","7",2256,69.415,94.654,0
"70","8",2842,71.995,90.858,0
"71","8",2843,74.814,92.58,0
"72","8",2846,73.822,93.342,0
"73","8",2847,74.622,92.546,0
"74","8",2848,75.467,93.212,0
"75","8",2850,75.548,95.864,0
"76","8",2851,76.974,96.848,0
"77","8",2852,75.656,96.662,0
"78","8",2861,78.091,99.461,0
"79","8",2863,76.627,98.057,0
"80","9",3686,101.423,12.924,0
"81","9",3687,101.546,12.621,0
"82","9",3694,98.649,11.551,0
"83","9",3695,98.592,11.476,0
"84","9",3696,98.992,12.116,0
"85","9",3697,100.233,11.882,0
"86","9",3703,99.722,11.214,0
"87","9",3704,99.165,11.317,0
"88","10",4431,26.036,95.63,0
"89","10",4433,26.665,95.468,0
"90","10",4434,26.381,95.022,0
"91","10",4435,25.121,92.938,0
"92","10",4436,24.401,93.901,0
"93","10",4437,24.368,94.065,0
"94","10",4438,24.468,93.925,0
"95","10",4439,23.934,93.583,0
"96","10",4440,25.256,97.213,0
"97","10",4441,23.289,94.511,0
"98","11",4468,23.454,100.442,0
"99","11",4469,23.358,99.497,0
"100","11",4470,25.547,96.834,0
"101","11",4471,26.433,95.059,0
"102","11",4472,27.463,95.46,0
"103","11",4473,27.101,95.41,0
"104","11",4475,21.265,101.807,0
"105","12",4768,21.233,97.426,0
"106","12",4769,21.567,97.598,0
"107","12",4770,21.38,97.538,0
"108","12",4771,21.222,97.626,0
"109","12",4772,21.682,97.229,0
"110","12",4774,21.368,97.198,0
"111","12",4775,20.973,97.553,0
"112","12",4776,20.656,97.568,0
"113","12",4777,20.659,97.691,0
"114","12",4778,21.194,98.079,0
"115","13",4808,44.639,51.459,0
"116","13",4809,45.684,51.184,0
"117","13",4810,45.488,51.014,0
"118","13",4811,45.94,50.61,0
"119","13",4812,45.21,50.523,0
"120","13",4813,45.66,51.162,0
"121","13",4815,45.305,50.476,0
"122","13",4816,45.65,51.24,0
"123","13",4817,45.553,51.098,0
"124","13",4818,46.11,52.166,0
"125","14",4880,44.422,50.421,0
"126","14",4881,44.436,50.902,0
"127","14",4884,44.608,50.72,0
"128","14",4885,44.241,51.036,0
"129","14",4886,44.237,50.353,0
"130","14",4887,44.322,50.224,0
"131","14",4888,44.381,50.645,0
"132","14",4889,44.345,50.974,0
"133","14",4890,45.182,50.977,0
"134","14",4891,44.72,51.127,0
"135","15",4917,74.027,107.932,0
"136","15",4918,74.649,108.366,0
"137","15",4920,75.374,106.52,0
"138","15",4922,74.934,107.542,0
"139","15",4923,78.363,105.781,0
"140","15",4924,78.638,105.636,0
"141","15",4925,76.407,104.686,0
"142","15",4926,74.587,105.467,0
"143","15",4927,75.5,106.283,0
"144","15",4931,77.534,103.862,0
"145","16",4948,42.483,56.737,0
"146","16",4949,42.359,56.638,0
"147","16",4951,41.787,56.976,0
"148","16",4952,42.272,56.87,0
"149","16",4953,42.18,57.752,0
"150","16",4954,42.033,57.425,0
"151","16",4955,41.849,57.572,0
"152","16",4956,41.817,57.204,0
"153","16",4958,42.01,57.177,0
"154","16",4959,41.802,57.404,0
"155","17",5008,95.172,19.331,0
"156","17",5009,94.644,19.182,0
"157","17",5011,94.945,19.428,0
"158","17",5012,95.193,19.757,0
"159","17",5013,94.852,19.269,0
"160","17",5014,94.989,19.647,0
"161","17",5015,94.681,19.453,0
"162","17",5016,94.7,19.731,0
"163","17",5017,94.874,19.426,0
"164","17",5018,95.385,19.444,0
"165","18",5023,43.149,56.897,0
"166","18",5024,44.072,56.77,0
"167","18",5025,44.166,56.463,0
"168","18",5026,43.684,56.722,0
"169","18",5027,43.572,57.049,0
"170","18",5029,42.644,57.187,0
"171","18",5030,42.646,57.36,0
"172","18",5031,42.299,56.6,0
"173","18",5032,41.91,57.678,0
"174","18",5033,42.13,57.606,0
"175","19",5113,81.536,56.426,0
"176","19",5114,81.37,56.797,0
"177","19",5123,81.59,56.275,0
"178","19",5124,81.408,56.149,0
"179","19",5129,81.268,56.851,0
"180","19",5131,80.712,56.268,0
"181","19",5133,80.573,56.306,0
"182","19",5134,81.295,56.93,0
"183","19",5136,81.316,56.464,0
"184","19",5137,81.45,56.714,0
"185","20",5246,42.007,51.942,0
"186","20",5248,43.001,58.81,0
"187","20",5250,42.05,51.871,0
"188","20",5252,42.105,58.1,0
"189","20",5253,41.375,57.879,0
"190","20",5255,41.892,57.113,0
"191","20",5256,41.691,57.584,0
"192","20",5258,42.225,52.311,0
"193","20",5260,42.493,51.724,0
"194","20",5262,42.206,51.891,0
"195","21",5267,82.503,55.623,0
"196","21",5269,82.791,55.497,0
"197","21",5274,82.823,55.436,0
"198","21",5275,82.966,55.316,0
"199","21",5281,83.673,55.405,0
"200","21",5282,83.607,55.486,0
"201","21",5290,83.066,56.008,0
"202","21",5291,82.321,55.781,0
"203","21",5292,82.914,55.463,0
"204","21",5293,82.764,55.916,0
"205","22",5271,42.459,52.057,0
"206","22",5272,38.83,53.465,0
"207","22",5273,42.353,52.027,0
"208","22",5276,42.845,56.466,0
"209","22",5277,43.426,57.327,0
"210","22",5278,43.289,57.344,0
"211","22",5280,42.346,51.782,0
"212","22",5283,42.497,51.421,0
"213","22",5284,42.774,51.495,0
"214","22",5285,42.683,51.132,0
"215","23",5308,41.192,52.446,0
"216","23",5309,40.666,52.587,0
"217","23",5310,41.404,51.982,0
"218","23",5311,41.213,52.517,0
"219","23",5312,41.399,51.751,0
"220","23",5313,41.024,51.716,0
"221","23",5318,38.47,53.812,0
"222","23",5320,38.221,54.138,0
"223","23",5326,38.323,54.105,0
"224","23",5327,38.512,54.311,0
"225","24",5481,38.923,56.679,0
"226","24",5482,39.479,57.559,0
"227","24",5483,39.416,57.771,0
"228","24",5492,40.089,57.571,0
"229","24",5493,40.404,57.567,0
"230","24",5494,40.002,57.717,0
"231","24",5495,40.42,57.734,0
"232","24",5496,40.285,57.451,0
"233","24",5497,40.354,57.684,0
"234","24",5499,40.373,58.101,0
"235","25",5617,48.42,51.106,0
"236","25",5618,49.272,50.77,0
"237","25",5629,48.343,52.285,0
"238","25",5630,47.591,50.674,0
"239","25",5632,46.678,50.598,0
"240","25",5633,46.304,51.018,0
"241","25",5634,46.094,49.686,0
"242","25",5635,42.095,50.499,0
"243","26",5678,73.783,100.691,0
